EPW,County,Region,IECC Climate Zone,County Population,Regional Population Weight,GEA Region
IA_DES-MOINES-IAP_725460_TY3A,"Des Moines County, Iowa",Midwest,5,"38,967",0.003,MISO_North
IA_SIOUX-CITY-SIOUX-GATEWAY-AP_725570_TY3A,"Woodbury County, Iowa",Midwest,6,"103,107",0.007,MISO_North
IL_BELLEVILLE-SCOTT-AFB_724338_TY3A,"St Clair County, Alabama",Midwest,4,"89,512",0.006,SERTP
IL_CHICAGO-MIDWAY-AP_725340_TY3A,"Cook County, Illinois",Midwest,5,"5,150,233",0.353,PJM_West
IN_EVANSVILLE-RGNL-AP_724320_TY3A,"Vanderburgh County, Indiana",Midwest,4,"181,451",0.012,MISO_Central
IN_INDIANAPOLIS-IAP_724380_TY3A,"Marion County, Indiana",Midwest,5,"964,582",0.066,MISO_Central
KS_HAYS-MUNI_AWOS_724518_TY3A,"Ellis County, Kansas",Midwest,5,"28,553",0.002,SPP_South
KS_WICHITA-MID-CONTINENT-AP_724500_TY3A,"Sedgwick County, Kansas",Midwest,4,"516,042",0.035,SPP_South
MI_DETROIT-CITY-AP_725375_TY3A,"Wayne County, Michigan",Midwest,5,"1,749,343",0.12,MISO_Central
MI_HOUGHTON-LAKE-ROSCOMMON-AP_726380_TY3A,"Roscommon County, Michigan",Midwest,7,"24,019",0.002,MISO_Central
MI_TRAVERSE-CITY-CHERRY-CAP_726387_TY3A,"Grand Traverse County, Michigan",Midwest,6,"93,088",0.006,MISO_Central
MN_DULUTH-IAP_727450_TY3A,"St Louis County, Minnesota",Midwest,7,"199,070",0.014,MIS_North
MN_MINNEAPOLIS-ST-PAUL-IAP_726580_TY3A,"Hennepin County, Minnesota",Midwest,6,"1,265,843",0.087,MISO_North
ND_BISMARCK-MUNI-AP_727640_TY3A,"Burleigh County, North Dakota",Midwest,6,"95,626",0.007,SPP_North
ND_FARGO-HECTOR-IAP_727530_TY3A,"Cass County, North Dakota",Midwest,7,"181,923",0.012,MISO_North
NE_OMAHA_725530_TY3A,"Douglas County, Nebraska",Midwest,5,"571,327",0.039,SPP_North
OH_CINCINNATI-MUNI-AP-LUNKI_724297_TY3A,"Hamilton County, Ohio",Midwest,4,"817,473",0.056,PJM_East
OH_COLUMBUS-PORT-COLUMBUS-IAP_724280_TY3A,"Franklin County, Ohio",Midwest,5,"1,316,756",0.09,PJM_East
SD_CHAN-GURNEY-MUNI_726525_TY3A,"Yankton County, South Dakota",Midwest,5,"22,814",0.002,SPP_North
SD_SIOUX-FALLS-FOSS-FIELD_726510_TY3A,"Minnehaha County, South Dakota",Midwest,6,"193,134",0.013,SPP_North
WI_MILWAUKEE-MITCHELL-IAP_726400_TY3A,"Milwaukee County, Wisconsin",Midwest,6,"945,726",0.065,MISO_North
WI_RHINELANDER-ONEIDA_727415_TY3A,"Oneida County, Wisconsin",Midwest,7,"35,595",0.002,MISO_North
CT_BRIDGEPORT-SIKORSKY-MEM_725040_TY3A,"Fairfield County, Connecticut",Northeast,5,"943,332",0.091910118,ISONE
MA_BOSTON-LOGAN-IAP_725090_TY3A,"Suffolk County, Massachusetts",Northeast,5,"803,907",0.078325751,ISONE
ME_PORTLAND-INTL-JETPORT_726060_TY3A,"Cumberland County, Maine",Northeast,6,"295,003",0.028742543,ISONE
ME_PRESQUE-ISLE-MUNI-AP_727130_TY3A,"Aroostook County, Maine",Northeast,7,"67,055",0.00653326,ISONE
NH_CONCORD-MUNI-AP_726050_TY3A,"Merrimack County, New Hampshire",Northeast,6,"151,391",0.014750231,ISONE
NH_MANCHESTER-AP_743945_TY3A,"Hillsborough County, New Hampshire",Northeast,5,"417,025",0.040631312,ISONE
NJ_NEWARK-IAP_725020_TY3A,"Essex County, New Jersey",Northeast,4,"798,975",0.07784522,PJM_East
NJ_TRENTON-MERCER-CO-AP_724095_TY3A,"Mercer County, New Jersey",Northeast,5,"367,430",0.035799204,PJM_East
NY_BUFFALO-NIAGARA-IAP_725280_TY3A,"Erie County, New York",Northeast,5,"918,702",0.089510384,NYISO
NY_NEW-YORK-J-F-KENNEDY-IAP_744860_TY3A,"New York County, New York",Northeast,4,"1,628,706",0.158687038,NYISO
NY_UTICA-ONEIDA-CO-AP_725197_TY3A,"Oneida County, New York",Northeast,6,"228,671",0.022279726,NYISO
PA_BRADFORD-RGNL-AP_725266_TY3A,"McKean County, Pennsylvania",Northeast,6,"40,625",0.003958149,PJM_East
PA_PHILADELPHIA-IAP_724080_TY3A,"Philadelphia County, Pennsylvania",Northeast,4,"1,584,064",0.154337508,PJM_East
PA_PITTSBURGH-IAP_725200_TY3A,"Allegheny County, Pennsylvania",Northeast,5,"1,216,045",0.118480917,PJM_East
RI_PROVIDENCE-GREEN-STATE-AP_725070_TY3A,"Providence County, Rhode Island",Northeast,5,"638,931",0.062251915,ISONE
VT_BURLINGTON-IAP_726170_TY3A,"Chittenden County, Vermont",Northeast,6,"163,774",0.015956723,ISONE
CA_BISHOP-AP_724800_TY3A,"Inyo County, California",Pacific,5,"18,039",0.001028906,CAISO
CA_CRESCENT-CITY-FAA-AP_725946_TY3A,"Del Norte County, California",Pacific,4,"27,812",0.001586337,CAISO
CA_IMPERIAL_747185_TY3A,"Imperial County, California",Pacific,2,"181,215",0.010336118,CAISO
CA_LOS-ANGELES-IAP_722950_TY3A,"Los Angeles County, California",Pacific,3,"10,039,107",0.572609329,CAISO
CA_SACRAMENTO-METRO-AP_724839_TY3A,"Sacramento County, California",Pacific,3,"1,552,058",0.08852609,CAISO
CA_SAN-JOSE-IAP_724945_TY3A,"Santa Clara County, California",Pacific,3,"1,927,852",0.109960581,CAISO
OR_PORTLAND-IAP_726980_TY3A,"Multnomah County, Oregon",Pacific,4,"812,855",0.046363522,NorthernGrid_West
OR_REDMOND-ROBERTS-FIELD_726835_TY3A,"Deschutes County, Oregon",Pacific,5,"197,692",0.011275932,NorthernGrid_West
